"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","searchOffroadSuv","","1","0","0","0","0"
"","searchPKW","","0","0","1","0","0"
"","searchLLKW","","0","0","1","0","0"
